zipcode,year_in_community,env_quality,val_fish_habitat,val_drinking_water,val_coastal_water,val_flood_protection,val_agriculture,val_outdoor_rec_summer,val_outdoor_rec_winter,val_fall_foliage,val_forest_climate_protection,val_forest_wood,val_forest_biodiversity,7a,7b,7c,7d,7e,7f,7g,7h,7i,7j,7k,7l,birth_year,gender,education,politics,race,adults_in_household,children_in_household,income,ESmean,frac_children
03234,10,2,3,5,4,2,3,5,4,3,3,3,3,1,-1,-2,1,0,1,0,-2,2,-2,2,2,1956,Male,Bachelors,Moderate,White,0,0,"More than $100,000 per year",3.4545454545454546,NA
03301,18,2,4,5,5,3,5,5,4,5,5,5,5,2,-2,-2,-2,-2,1,1,-1,2,-2,2,2,1963,Female,Gradutate Degree,Liberal,White,1,1,"$75,001 to $100,000 per year",4.636363636363637,0.5
03104,22,1,5,5,5,5,4,5,1,3,5,4,4,2,-1,-2,-2,-2,2,2,2,2,-2,2,2,1958,Male,Bachelors,Prefer Not to Answer,White,2,0,"$75,001 to $100,000 per year",4.181818181818182,0
03104,22,2,5,5,5,5,5,5,5,5,5,4,5,2,-2,-2,-2,-2,2,2,-2,2,-2,2,2,1951,Female,Bachelors,Liberal,White,2,0,"More than $100,000 per year",4.909090909090909,0
03303,5,1,5,5,4,4,4,5,3,4,4,4,4,2,-1,-2,-2,-1,-1,2,-1,-2,-2,2,-2,1954,Female,Some College,Liberal,White,2,0,"$25,001 to $50,000 per year",4.181818181818182,0
03106,16,2,5,5,5,5,5,4,3,4,4,4,4,2,-2,-2,-2,-2,2,2,-2,2,-2,2,2,1969,Female,Bachelors,Conservative,White,2,2,"More than $100,000 per year",4.363636363636363,0.5
03440,7,2,5,5,5,4,5,5,5,5,5,3,5,2,-1,-1,-2,2,1,0,0,2,-2,2,2,1962,Female,High School,Moderate,White,2,1,"$25,001 to $50,000 per year",4.7272727272727275,0.3333333333333333
03301,8,1,4,5,5,4,5,4,3,4,5,4,4,1,-1,-2,2,-1,1,-1,0,1,NA,1,2,1969,Female,Gradutate Degree,Slightly Liberal,White,2,2,"More than $100,000 per year",4.2727272727272725,0.5
03230,26,1,5,5,5,5,5,5,5,5,5,5,5,2,-2,-2,-2,-2,2,2,-2,2,-2,2,2,1942,Female,Bachelors,Liberal,White,2,NA,"$50,001 to $75,000 per year",5,NA
03223,3,2,5,5,5,5,5,5,5,5,5,5,5,2,-2,-2,-2,-2,2,2,-2,2,-2,2,2,1952,Female,Bachelors,Liberal,White,1,0,"Less than $25,000 per year",5,0
03103,3,0,5,5,5,4,4,2,2,3,5,3,5,2,-2,-2,-2,-2,2,2,-2,2,-2,2,2,1979,Male,High School,Prefer Not to Answer,White,1,0,"$25,001 to $50,000 per year",3.909090909090909,0
03032,35,1,5,5,4,3,4,3,2,5,4,4,3,1,-1,-1,1,-2,0,0,-1,2,-2,2,1,1956,Male,Some College,Conservative,White,2,0,"$50,001 to $75,000 per year",3.8181818181818183,0
03442,28,1,4,5,5,5,5,5,5,5,5,5,5,2,-2,-2,-2,-2,1,1,-1,2,-2,2,2,1954,Female,Bachelors,Liberal,White,2,0,"$75,001 to $100,000 per year",4.909090909090909,0
03301,44,1,5,5,5,5,5,5,5,4,5,3,5,2,-2,-2,-2,-2,1,2,-2,2,-2,2,1,1971,Female,Some College,Moderate,White,3,0,"$25,001 to $50,000 per year",4.7272727272727275,0
03045,22,1,4,5,4,5,4,5,5,3,5,4,3,2,-2,0,-1,-1,2,1,0,1,-1,1,-2,1964,Female,Gradutate Degree,Slightly Liberal,White,2,3,"More than $100,000 per year",4.2727272727272725,0.6
03279,15,2,3,5,4,4,2,4,3,3,4,2,2,2,-2,-2,-2,-1,1,1,-2,2,-2,2,2,1959,Female,Some College,Slightly Conservative,White,3,0,"$75,001 to $100,000 per year",3.272727272727273,0
03276,4,2,3,5,4,4,5,5,5,5,5,2,3,2,-2,-2,-2,-2,2,0,-2,2,-2,2,2,1992,Male,Some College,Liberal,White,2,0,"$25,001 to $50,000 per year",4.181818181818182,0
03276,9,1,4,5,5,3,5,5,5,5,5,2,4,2,-2,-2,-2,0,2,2,-1,2,-2,1,2,1978,Female,Some College,Prefer Not to Answer,White,4,1,"$75,001 to $100,000 per year",4.363636363636363,0.2
03037,45,2,5,5,5,4,4,4,4,4,5,4,4,-2,-2,-2,-2,-2,2,2,-2,2,-2,-2,2,1948,Male,Gradutate Degree,Moderate,White,2,NA,"More than $100,000 per year",4.363636363636363,NA
03106,18,0,5,5,5,5,5,4,4,5,5,NA,5,0,-2,-2,-2,-2,2,1,0,2,-2,1,1,1997,Male,High School,Extremely Liberal,Other,4,0,"$75,001 to $100,000 per year",NA,0
03224,9,2,5,5,4,5,5,4,4,4,5,5,5,2,-2,-2,-2,-2,2,1,-2,2,-2,2,2,1963,Female,Gradutate Degree,Liberal,White,2,0,"$75,001 to $100,000 per year",4.636363636363637,0
03303,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
03257,25,2,4,4,2,3,3,5,3,2,4,3,5,2,-2,-1,-2,-2,1,2,-1,2,-2,2,2,1959,Male,Gradutate Degree,Slightly Liberal,White,1,0,"$25,001 to $50,000 per year",3.4545454545454546,0
03054,16,2,5,5,4,4,5,4,5,5,4,4,5,1,-1,-1,-1,-2,0,1,-1,1,-1,2,1,1964,Male,Gradutate Degree,Conservative,White,3,NA,"More than $100,000 per year",4.545454545454546,NA
03234,22,1,5,4,5,4,5,5,4,5,5,4,5,1,0,-1,-1,0,1,0,0,1,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,4.636363636363637,NA
03301,59,1,5,5,5,5,5,5,5,5,5,5,5,2,-2,-2,-2,-2,2,2,-2,2,-2,2,2,1956,Female,Gradutate Degree,Liberal,White,1,0,"$25,001 to $50,000 per year",5,0
03104,65,2,5,5,5,4,4,5,5,5,5,4,NA,1,-2,-2,-2,-2,2,0,1,2,2,2,2,1950,Female,Bachelors,Liberal,White,0,0,"$75,001 to $100,000 per year",NA,NA
03104,59,1,5,5,5,5,5,5,5,5,5,5,5,2,2,-2,-2,-2,2,1,-2,2,-2,2,2,1955,Female,Some College,Slightly Liberal,White,3,0,"$50,001 to $75,000 per year",5,0
03825,43,1,4,5,4,4,4,5,4,4,4,4,4,2,-1,-2,-2,-2,1,1,-2,2,-2,2,2,1950,Male,Bachelors,Extremely Liberal,White,2,0,"$50,001 to $75,000 per year",4.181818181818182,0
03301,20,1,4,5,5,5,5,5,5,4,4,5,4,0,1,-1,-1,-1,0,1,-1,2,-1,1,1,1956,Male,Gradutate Degree,Moderate,White,2,0,"$75,001 to $100,000 per year",4.636363636363637,0
03038,45,1,5,5,5,4,5,4,4,3,4,5,5,0,0,-2,2,-1,0,0,-1,2,-2,1,2,1962,Female,Some College,Prefer Not to Answer,White,3,1,"$75,001 to $100,000 per year",4.454545454545454,0.25
03461,7,0,5,5,5,5,5,5,4,3,5,5,2,0,-1,-2,-2,-2,2,2,-1,2,-2,2,2,1983,Male,Gradutate Degree,Extremely Liberal,White,2,0,"Less than $25,000 per year",4.454545454545454,0
03037,21,2,4,5,4,4,5,5,5,3,4,4,4,2,-2,-1,-2,0,1,0,-2,1,-1,1,-1,1968,Female,Gradutate Degree,Slightly Liberal,White,3,1,"More than $100,000 per year",4.2727272727272725,0.25
03263,55,1,5,5,5,5,5,4,4,5,5,5,5,2,-2,-2,-2,-1,1,2,-2,2,-2,2,2,1930,Male,Gradutate Degree,Slightly Liberal,White,2,0,"$75,001 to $100,000 per year",4.818181818181818,0
03106,14,0,5,5,5,4,5,5,2,4,5,5,4,2,-2,-2,-2,-2,1,1,-2,2,-2,2,2,1948,Male,Gradutate Degree,Moderate,White,1,0,"$50,001 to $75,000 per year",4.454545454545454,0
03063,6,1,5,5,5,5,5,5,4,4,5,5,5,2,-2,-1,-2,-1,2,1,-1,2,-2,2,2,1965,Female,Gradutate Degree,Moderate,White,2,0,"$50,001 to $75,000 per year",4.818181818181818,0
03103,17,1,4,4,4,4,4,4,4,4,4,4,4,2,0,-2,-2,2,0,0,0,2,-2,2,2,1985,Male,Bachelors,Prefer Not to Answer,Prefer Not to Answer,2,1,Prefer Not to Answer,4,0.3333333333333333
03104,50,0,5,5,5,5,5,5,5,2,5,5,5,2,-2,-2,-2,-2,2,2,-2,2,-2,2,2,1937,Male,Gradutate Degree,Liberal,White,2,0,"$50,001 to $75,000 per year",4.7272727272727275,0
03301,35,0,5,5,5,5,5,5,4,4,5,5,5,2,-1,-2,-2,-2,1,0,-2,1,-2,2,1,1956,Male,Some College,Slightly Conservative,White,1,0,"Less than $25,000 per year",4.818181818181818,0
03301,43,1,5,5,4,4,4,5,3,2,NA,3,NA,2,-1,-1,-1,1,1,-1,0,1,-1,1,1,1948,Female,Gradutate Degree,Slightly Liberal,White,1,0,Prefer Not to Answer,NA,0
03102,21,2,5,5,3,5,5,5,4,5,4,4,3,2,0,-1,-1,-2,0,0,0,1,-1,1,2,1970,Female,Some College,Moderate,White,2,2,"$50,001 to $75,000 per year",4.363636363636363,0.5
03276,13,2,5,5,5,5,5,2,2,1,5,5,5,2,0,0,-2,-2,2,0,0,2,-2,2,2,1944,Male,Bachelors,Liberal,White,1,0,"Less than $25,000 per year",4.090909090909091,0
03301,30,1,4,5,5,4,4,5,5,5,4,4,4,2,1,-2,-2,1,1,1,-1,2,-2,1,2,1948,Female,Bachelors,Liberal,White,1,NA,"$25,001 to $50,000 per year",4.454545454545454,NA
03245,7,1,5,5,5,5,4,5,5,5,5,4,5,2,0,-2,-2,-1,1,0,0,2,-2,1,2,1944,Female,Bachelors,Slightly Conservative,White,1,0,Prefer Not to Answer,4.818181818181818,0
03229,2,2,5,4,5,5,5,5,4,5,5,5,5,2,-1,-2,2,-2,1,-1,0,2,-2,2,2,1945,Male,Some College,Slightly Liberal,White,2,0,"$25,001 to $50,000 per year",4.818181818181818,0
03303,15,1,5,5,5,5,5,5,5,5,4,4,5,1,-2,-2,-2,-2,1,2,-2,2,-2,2,2,1958,Female,Bachelors,Moderate,White,1,0,"$25,001 to $50,000 per year",4.818181818181818,0
03275,4,1,4,5,5,3,5,5,5,5,5,3,5,2,-2,-2,-2,-1,-1,1,-2,2,-2,2,2,1939,Male,Gradutate Degree,Prefer Not to Answer,White,1,0,"$25,001 to $50,000 per year",4.545454545454546,0
03275,13,1,5,5,5,5,5,4,4,4,5,4,5,2,2,-2,-2,-2,0,0,-2,2,-2,2,2,1951,Female,Bachelors,Prefer Not to Answer,White,2,0,"Less than $25,000 per year",4.636363636363637,0
03242,1,1,4,5,4,4,4,3,2,3,4,4,4,2,-1,-2,-2,-1,2,1,0,2,-2,1,2,1964,Female,Some College,Moderate,White,1,0,"$25,001 to $50,000 per year",3.727272727272727,0
03051,60,1,5,5,5,5,5,5,4,4,5,5,5,2,-2,-2,2,-2,2,1,-2,2,-2,2,2,1946,Female,Gradutate Degree,Moderate,White,1,0,"$25,001 to $50,000 per year",4.818181818181818,0
03301,8,1,5,5,5,5,5,5,5,4,5,4,4,1,0,-1,-1,0,0,1,0,2,-2,1,2,1971,Male,Bachelors,Moderate,White,2,5,Prefer Not to Answer,4.7272727272727275,0.7142857142857143
03275,27,1,5,5,5,4,5,5,4,5,5,5,5,2,-2,-2,-2,-2,2,0,-2,2,-2,2,2,1956,Female,Some College,Liberal,White,2,0,"$25,001 to $50,000 per year",4.818181818181818,0
03103,34,1,5,5,4,4,4,4,4,4,4,4,5,0,-1,-1,0,-1,0,0,0,1,0,2,0,1952,Male,Some College,Moderate,White,2,0,"$25,001 to $50,000 per year",4.2727272727272725,0
03103,28,1,5,5,5,5,5,5,5,3,5,4,3,2,-1,-1,-2,-1,0,NA,1,2,2,1,2,1962,Female,Some College,Slightly Conservative,White,2,NA,Prefer Not to Answer,4.545454545454546,NA
03221,10,2,5,5,5,5,5,5,5,5,5,3,5,2,-2,-2,-2,-2,0,0,0,2,-2,2,2,1962,Female,Gradutate Degree,Liberal,White,2,1,"$50,001 to $75,000 per year",4.818181818181818,0.3333333333333333
03110,6,2,3,5,4,4,5,4,5,4,5,4,5,2,-1,-2,-2,-1,0,1,-1,2,-2,2,2,1973,Male,Bachelors,Conservative,White,2,1,"More than $100,000 per year",4.363636363636363,0.3333333333333333
