X1,sys_RespNum,QUOTA,Q9Quota,State,Region,Opinion_aqua_pre,Support_pre,Wild_farmed_pre,M3_strong,M3_weak,VIDEOQUOTA,Opinion_video,Support_post,Purchase_seafood_post,Opinion_aqua_post,Wild_farmed_post,Trust_scientists,Trust_NGO,Trust_Govt,Trust_Chefs,Trust_farmers,Trust_grocer,Trust_food_companies,Age,Marital,Education,Religion,Race,Income,Gender,MXD_I,MXD_II,MXD_III,MXD_IV,MXD_V,MXD_VI,MXD_VII,MXD_VIII,MXD_IX,MXD_X,Message_1,Message_2,Message_3,Message_4,Message_5,Message_6,Message_7,Message_8,Message_9,Message_10,Region_factor,Gender_factor,Race_factor,Education_factor,Marital_factor,Last_seafood_factor,Neighborhood_factor,survey_2_region,survey_2_state
536,705,1,1,33,1,6,5,#NULL!,1,1,4,5,5,#NULL!,6,#NULL!,6,6,6,6,6,6,6,99,1,9,13,3,9,6,16.11917,4.53475,7.3484,10.0724,23.22972,4.76913,9.52205,6.66347,11.18283,6.55808,9,1,5,7,10,2,6,4,8,3,Northeast,No answer,Asian,Doctoral/law degree,Single,Can't remember,Rural,5,New York
6,230,1,1,1,4,2,1,3,5,1,5,1,1,1,1,2,4,4,3,4,4,4,4,88,5,6,2,1,9,2,9.73095,6.10211,2.30987,10.10779,17.02011,0.84778,7.0949,14.7683,22.09777,9.92042,5,3,2,7,9,1,4,8,10,6,South,Female,White,4-year college/bachelor's degree,Widowed,Yesterday,Urban,8,Alabama
556,226,1,2,34,4,3,3,3,5,1,5,1,1,2,1,2,4,2,1,2,3,2,3,86,1,7,3,1,4,2,7.07183,9.75586,0.50681,4.14759,18.61608,5.71182,6.95567,16.72529,9.14865,21.36041,5,7,1,2,9,3,4,8,6,10,South,Female,White,"Some postgraduate work, no degree",Single,Within the last week,Rural,8,North Carolina
677,227,1,1,43,4,1,1,2,5,4,3,1,1,1,1,2,4,2,4,3,4,4,4,86,5,3,11,1,1,2,9.96367,14.74053,1.86488,13.07651,23.37364,0.87555,5.94,13.72843,11.11723,5.31957,5,9,2,7,10,1,4,8,6,3,South,Female,White,High school graduate,Widowed,Within the last month,Suburban,8,Tennessee
104,691,1,1,5,3,6,3,3,5,4,6,3,2,2,2,3,4,3,4,4,4,3,3,84,3,6,1,1,3,2,6.54888,9.04712,1.31087,6.84541,10.21641,3.66576,2.83758,19.10655,19.5151,20.9063,4,6,1,5,7,3,2,8,9,10,West,Female,White,4-year college/bachelor's degree,Divorced,Within the last week,Suburban,3,California
305,1006,1,1,14,2,3,3,2,4,2,6,5,3,2,2,2,4,6,3,3,3,3,3,83,1,4,13,1,4,1,17.21572,17.78894,2.27731,8.57445,13.51005,1.67569,6.5666,4.40643,18.55997,9.42484,8,9,2,5,7,1,4,3,10,6,Midwest,Male,White,"Some college, no degree",Single,Within the last week,Suburban,6,Illinois
400,5,1,1,23,2,3,3,1,5,1,4,1,1,1,1,3,4,3,2,3,4,2,1,82,2,4,12,#NULL!,3,2,4.03329,8.51489,0.32658,5.53249,20.8642,1.50096,13.7058,23.09733,8.04004,14.38441,3,6,1,4,9,2,7,10,5,8,Midwest,Female,NA,"Some college, no degree",Married,Within the last week,Suburban,6,Michigan
50,51,1,1,5,3,1,2,3,5,2,4,1,2,2,1,2,5,4,4,4,3,4,4,81,5,4,11,1,2,2,19.1531,8.91756,7.70392,11.9438,6.23943,8.13632,3.2627,7.46689,12.14999,15.0263,10,6,4,7,2,5,1,3,8,9,West,Female,White,"Some college, no degree",Widowed,More than a month ago,Urban,3,California
168,39,1,1,10,4,4,4,1,4,1,3,2,2,2,2,1,3,2,2,2,2,3,1,80,5,5,8,1,2,1,15.68506,7.16088,1.14206,16.47511,13.05316,0.54793,7.88529,19.65195,4.0296,14.36897,8,4,2,9,6,1,5,10,3,7,South,Male,White,Vocational training/2 year college,Widowed,Today,Rural,8,Florida
180,251,1,1,10,4,3,3,1,5,5,4,1,1,1,1,2,5,5,1,5,5,5,5,80,2,4,6,1,9,1,22.80611,9.88198,8.50508,16.75681,11.52506,0.63995,3.0505,9.0557,8.98155,8.79724,10,7,3,9,8,1,2,6,5,4,South,Male,White,"Some college, no degree",Married,Within the last month,Urban,8,Florida
