sys_RespNum,Nation,State,REGION,Distance_Coast,Livelihood_ocean,Familiarity_aquaculture,Opinion_aquaculture,Familiarity_seaweed,Opinion_seaweed,Seaweed_harm_good,Opinion_seaweed_post,MXD_I,MXD_II,MXD_III,MXD_IV,MXD_V,MXD_VI,MXD_VII,MXD_VIII,MXD_IX,MXD_X,Strongestest_M3,Weakest_M3,Harm_good_post,Support_seaweed_expansion,Scientists,NGO,Aquarium_museum,Government,Chefs,Fishermen,Seafood_farmer,Grocer,AGE,Native,Asian,Black,Hispanic,Middle_Eastern,Native_Hawaiian,White,Multiracial,Other_1,No_Answer,Voting_status,Homeowner,Marital_status,Education,Gender,RaceME,AgeBreaks,Effect,Livelihood_factor,Race_factor,Education_factor,Gender_factor,Vote_factor,Homeowner_factor,Region_factor,Age_factor,Message_1,Message_2,Message_3,Message_4,Message_5,Message_6,Message_7,Message_8,Message_9,Message_10
2,1,2,3,4,2,2,2,2,2,1,2,8.08903422,6.27666137,4.12531071,3.7029526,14.95564363,9.04860209,15.2718556,8.81904985,17.85399245,11.85689749,1,1,1,2,4,4,4,3,4,4,4,4,67,0,2,0,0,0,0,0,0,0,0,1,2,5,8,2,2,5,0,No,Asian,Doctoral/Law Degree,Female,Yes,No,California,60 to 69,4,3,2,1,8,6,9,5,10,7
6,1,2,3,4,NA,4,7,4,7,1,1,19.21505026,7.95776452,3.68875899,9.17164092,17.42122605,6.77588477,1.48879116,8.79873666,19.57553409,5.90661258,1,2,1,1,3,3,6,1,4,5,5,6,72,0,0,0,0,0,0,7,0,0,0,1,1,5,3,2,6,6,6,NA,White,"Some college, no degree",Female,Yes,Yes,California,70+,9,5,2,7,8,4,1,6,10,3
7,1,2,3,3,2,3,3,4,7,3,2,16.5682487,8.1658286,9.27201988,15.09231607,13.99642046,0.84795332,1.96473102,5.05873951,18.14732624,10.8864162,2,3,1,2,4,3,2,2,3,3,3,2,69,0,0,0,0,0,0,7,0,0,0,1,1,1,3,2,6,5,5,No,White,"Some college, no degree",Female,Yes,Yes,California,60 to 69,9,4,5,8,7,1,2,3,10,6
9,1,9,2,1,2,2,6,3,6,1,1,19.83907064,16.62700944,21.38783815,5.82757707,8.82596582,0.3031594,0.37142514,4.92716951,8.6498433,13.24094152,2,3,1,1,4,4,4,4,4,4,4,3,79,0,0,0,0,0,0,7,0,0,0,1,1,2,7,2,6,6,5,No,White,2 or 3 years postgraduate work/master's degree,Female,Yes,Yes,Pacific Northwest,70+,9,8,10,4,6,1,2,3,5,7
16,1,4,4,3,2,2,3,3,3,2,3,14.37298706,11.43839501,4.99746205,14.89938181,7.02191039,2.2761302,8.75212572,10.76629661,20.00191544,5.4733957,1,2,2,4,2,5,1,3,4,2,4,3,18,0,0,0,0,0,0,7,0,0,0,1,1,1,7,2,6,1,0,No,White,2 or 3 years postgraduate work/master's degree,Female,Yes,Yes,New England,18 to 29,8,7,2,9,4,1,5,6,10,3
23,1,2,3,3,2,3,3,3,3,2,2,17.2451906,8.57584955,6.1977153,5.22319856,18.79271366,8.26986567,1.73993129,4.98822815,9.22584494,19.74146228,3,3,2,3,2,3,1,1,2,2,1,1,18,1,0,0,4,0,0,0,0,0,0,1,2,6,5,2,1,1,1,No,American Indian and Alaska Native,4-year college/bachelor's degree,Female,Yes,No,California,18 to 29,8,6,4,3,9,5,1,2,7,10
29,1,2,3,1,2,4,7,3,3,3,1,3.12987286,12.78231056,7.51988369,6.09987044,19.86867106,13.49607672,5.88490563,10.34012278,7.63167589,13.24661038,1,1,1,1,5,3,5,3,4,5,5,6,29,0,0,3,0,0,6,0,0,0,0,2,2,6,3,2,3,1,2,No,Black,"Some college, no degree",Female,No,No,California,18 to 29,1,7,4,3,10,9,2,6,5,8
32,1,2,3,2,2,2,2,2,4,2,2,15.51622304,19.83850934,13.73386647,13.85372287,2.13624286,6.4104477,3.72637897,11.19175619,3.56844301,10.02440954,1,2,1,1,5,4,4,4,4,4,4,4,31,0,2,0,0,0,0,0,0,0,0,1,1,2,3,2,2,2,2,No,Asian,"Some college, no degree",Female,Yes,Yes,California,30 to 39,9,10,7,8,1,4,3,6,2,5
37,1,2,3,4,2,3,4,3,3,1,1,13.4967732,18.6030915,19.84821002,2.12497539,1.85882276,9.21804868,6.85974156,15.74813066,6.09915768,6.14304855,2,1,1,2,5,5,5,5,5,5,6,5,18,0,0,3,0,0,0,0,0,0,0,2,2,1,2,1,3,1,2,No,Black,High school graduate,Male,No,No,California,18 to 29,7,9,10,2,1,6,5,8,3,4
38,1,2,3,4,2,3,3,4,7,2,1,9.34886786,15.04916445,7.080047,5.04458696,5.70071374,12.02850758,9.01936177,17.10338942,13.09277847,6.53258276,1,1,1,2,5,5,5,5,4,5,5,5,18,0,0,3,0,0,0,0,0,0,0,1,2,1,2,2,3,1,6,No,Black,High school graduate,Female,Yes,No,California,18 to 29,6,9,4,1,2,7,5,10,8,3
49,1,2,3,4,2,3,3,3,3,1,2,16.69808865,16.85663225,20.83982082,4.21884668,4.96991006,0.40395829,1.41406316,6.84177512,25.17003513,2.58686983,2,2,1,2,3,1,6,6,6,6,6,6,20,0,0,0,0,0,0,7,0,0,0,1,2,1,3,1,6,1,1,No,White,"Some college, no degree",Male,Yes,No,California,18 to 29,7,8,9,4,5,1,2,6,10,3
50,1,2,3,4,2,1,1,1,1,2,1,6.15711772,17.36660304,6.90141114,6.29934774,6.38539591,18.18255148,5.78588611,14.31904179,9.31934966,9.28329541,1,2,1,1,4,5,5,5,4,5,5,5,40,0,0,0,0,0,0,7,0,0,0,1,1,2,7,1,6,3,0,No,White,2 or 3 years postgraduate work/master's degree,Male,Yes,Yes,California,40 to 49,2,9,5,3,4,10,1,8,7,6
51,1,2,3,2,2,3,3,3,2,3,2,13.47308867,14.53093051,9.17181618,15.33042945,4.50115369,11.03561633,2.47948573,11.08656404,6.36271714,12.02819826,3,2,1,5,4,3,3,3,3,3,3,2,20,0,2,0,0,0,0,0,0,0,0,2,1,1,2,2,2,1,0,No,Asian,High school graduate,Female,No,Yes,California,18 to 29,8,9,4,10,2,5,1,6,3,7
57,1,9,2,1,1,1,1,1,1,1,1,7.68955916,6.81323094,8.68880614,18.83500437,14.4082089,3.73435228,7.68215806,9.15362483,9.18308236,13.81197296,5,1,2,1,5,5,5,5,5,5,5,5,30,0,0,3,0,0,0,0,0,0,0,1,1,1,1,2,3,2,0,Yes,Black,Some high school,Female,Yes,Yes,Pacific Northwest,30 to 39,4,2,5,10,9,1,3,6,7,8
58,1,3,4,3,2,2,2,2,2,1,2,13.25823271,4.76978137,13.08967069,9.92619188,13.52922762,7.91661275,2.78515681,9.70179815,13.01066115,12.01266687,2,2,1,2,4,4,3,4,3,4,5,3,18,0,0,3,0,0,0,0,0,0,0,2,2,1,3,2,3,1,0,No,Black,"Some college, no degree",Female,No,No,New England,18 to 29,9,2,8,5,10,3,1,4,7,6
62,1,2,3,2,2,2,3,2,3,3,2,17.89886715,16.46961976,15.99330736,1.12402424,7.35428937,0.84671982,4.56429229,5.31760015,24.05350717,6.37777269,1,5,1,2,4,2,3,3,2,3,5,3,26,0,2,0,0,0,0,0,0,0,0,1,2,1,5,2,2,1,1,No,Asian,4-year college/bachelor's degree,Female,Yes,No,California,18 to 29,9,8,7,2,6,1,3,4,10,5
63,1,2,3,4,2,2,3,2,3,3,2,9.99354969,22.20387937,9.40212832,5.40348583,4.36525389,1.84493515,17.45395926,9.14353048,17.39576397,2.79351405,1,2,1,2,3,3,3,3,3,3,4,3,19,0,2,0,0,0,0,0,0,0,0,1,1,1,4,2,2,1,1,No,Asian,Vocational training/2-year college,Female,Yes,Yes,California,18 to 29,7,10,6,4,3,1,9,5,8,2
64,1,3,4,4,2,2,2,2,2,2,3,10.56138755,4.52226434,3.20836843,14.20828084,11.28724954,23.12623721,5.4430386,2.73038045,12.11241861,12.80037443,2,3,1,2,3,2,3,2,4,3,4,3,20,0,0,0,0,0,0,7,0,0,0,2,2,1,3,2,6,1,-1,No,White,"Some college, no degree",Female,No,No,New England,18 to 29,5,3,2,9,6,10,4,1,7,8
65,1,9,2,1,2,2,2,2,2,1,1,15.09169433,8.0028501,7.0633563,6.97531479,18.87752089,4.5805595,4.5303918,15.88264204,8.40271196,10.59295829,2,2,1,2,5,4,4,4,4,4,5,3,29,0,2,0,0,0,0,0,0,0,0,1,2,1,2,1,2,1,1,No,Asian,High school graduate,Male,Yes,No,Pacific Northwest,18 to 29,8,5,4,3,10,2,1,9,6,7
